id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count
id1956279,2,2/26/2016 8:37,2/26/2016 8:43,1
id2391523,1,5/18/2016 21:50,5/18/2016 22:10,3
id2662609,1,4/10/2016 19:11,4/10/2016 19:25,1
id2067879,2,1/19/2016 23:19,1/19/2016 23:44,1
id1939961,1,5/7/2016 13:18,5/7/2016 13:46,1
id0675800,2,2/15/2016 9:25,2/15/2016 9:35,6
id2569332,1,4/13/2016 14:24,4/13/2016 14:30,1
id0526266,2,5/15/2016 9:42,5/15/2016 9:56,1
id3827863,2,4/19/2016 11:29,4/19/2016 12:27,3
id1388344,2,1/2/2016 15:41,1/2/2016 16:01,2
id1079955,1,4/22/2016 11:28,4/22/2016 12:11,1
id0256505,1,3/14/2016 15:04,3/14/2016 15:16,1
id1530524,1,3/19/2016 17:41,3/19/2016 17:48,1
id1674872,1,2/29/2016 2:46,2/29/2016 2:55,1
id1040444,2,1/7/2016 17:01,1/7/2016 17:13,4
id1674996,1,5/13/2016 12:32,5/13/2016 12:40,1
id1965939,1,5/24/2016 12:16,5/24/2016 12:28,1
id0442192,1,4/10/2016 16:07,4/10/2016 16:10,1
id0515898,2,5/21/2016 17:38,5/21/2016 17:46,1
id1182327,2,2/29/2016 11:22,2/29/2016 11:35,1
id3913101,1,6/25/2016 22:05,6/25/2016 22:22,2
id1680350,1,3/18/2016 20:56,3/18/2016 20:59,1
id0913838,2,2/3/2016 16:22,2/3/2016 16:37,5
id3896508,2,6/7/2016 22:32,6/7/2016 22:46,1
id2846400,2,3/16/2016 20:13,3/16/2016 20:23,1
id1510700,2,2/20/2016 21:58,2/20/2016 21:59,1
id0813128,2,2/20/2016 18:57,2/20/2016 19:07,2
id1158195,1,3/24/2016 17:58,3/24/2016 18:36,1
id0959273,1,3/20/2016 23:16,3/20/2016 23:27,1
id0739660,1,5/16/2016 13:07,5/16/2016 13:34,3
id3769871,1,6/17/2016 17:32,6/17/2016 18:11,1
id1818021,1,3/23/2016 0:34,3/23/2016 0:45,1
id0982165,2,4/12/2016 21:29,4/12/2016 21:49,1
id1519515,2,6/11/2016 12:52,6/11/2016 13:12,1
id1082443,2,2/25/2016 14:56,2/25/2016 15:09,1
id2934884,2,1/7/2016 19:32,1/7/2016 19:40,1
id1205949,1,6/5/2016 18:43,6/5/2016 18:46,1
id2592310,2,6/13/2016 7:20,6/13/2016 7:24,1
id0883711,1,1/16/2016 21:22,1/16/2016 21:42,1
id0283075,1,4/6/2016 23:42,4/7/2016 0:12,1
id2107497,1,5/13/2016 20:46,5/13/2016 21:06,2
id2090852,2,1/28/2016 11:25,1/28/2016 11:30,1
id1297351,2,6/24/2016 14:24,6/24/2016 14:32,1
id0667605,2,5/27/2016 16:17,5/27/2016 16:23,1
id1476107,1,5/22/2016 15:41,5/22/2016 15:48,1
id0673727,2,5/18/2016 19:15,5/18/2016 19:44,1
id2030290,1,3/31/2016 11:33,3/31/2016 12:12,3
id3770790,1,2/13/2016 13:12,2/13/2016 13:19,1
id3025098,2,1/20/2016 19:21,1/20/2016 19:31,1
id3333094,2,6/2/2016 23:34,6/2/2016 23:41,1
id2228940,1,2/4/2016 13:22,2/4/2016 13:40,1
id2102594,1,3/30/2016 16:14,3/30/2016 17:01,1
id0010677,1,4/29/2016 10:40,4/29/2016 10:53,2
id3194108,1,6/1/2016 11:48,6/1/2016 12:19,1
id2063827,1,5/18/2016 21:09,5/18/2016 21:18,1
id0105610,1,2/19/2016 20:01,2/19/2016 20:35,3
id3502065,1,3/15/2016 21:03,3/15/2016 21:14,1
id3508035,2,6/6/2016 20:13,6/6/2016 20:45,6
id3236276,2,1/27/2016 8:07,1/27/2016 8:24,1
id3277902,1,4/9/2016 15:04,4/9/2016 15:11,1
id2335059,1,5/27/2016 11:10,5/27/2016 11:26,4
id2300865,1,5/10/2016 10:31,5/10/2016 10:35,1
id3962434,2,1/10/2016 8:45,1/10/2016 8:51,2
id2677672,1,2/18/2016 17:47,2/18/2016 17:54,2
id0589360,1,5/22/2016 17:34,5/22/2016 18:20,1
id0970832,1,3/12/2016 20:39,3/12/2016 21:05,1
id0694434,1,1/26/2016 23:40,1/26/2016 23:48,1
id3729136,2,1/30/2016 15:15,1/30/2016 15:30,2
id2358953,2,6/27/2016 0:31,6/27/2016 1:06,1
id0935429,1,5/2/2016 6:58,5/2/2016 7:08,1
id3056417,2,4/11/2016 14:18,4/11/2016 14:34,1
id1152886,2,1/21/2016 14:34,1/21/2016 14:44,1
id1796723,1,2/9/2016 15:54,2/9/2016 16:04,1
id0045014,1,4/20/2016 20:29,4/20/2016 20:39,1
id2648478,1,1/18/2016 11:13,1/18/2016 11:18,1
id0702030,1,1/7/2016 23:24,1/7/2016 23:26,1
id3024438,2,6/10/2016 22:24,6/10/2016 22:41,1
id2146569,2,6/23/2016 22:17,6/23/2016 22:21,1
id2307151,1,2/7/2016 18:08,2/7/2016 18:15,1
id2049424,2,3/2/2016 20:15,3/2/2016 20:37,1
id2209089,1,2/24/2016 22:56,2/24/2016 23:03,1
id0391524,1,4/6/2016 12:14,4/6/2016 12:33,1
id2681033,1,6/17/2016 10:01,6/17/2016 10:16,1
id2040275,1,6/16/2016 20:31,6/16/2016 20:36,1
id0073842,2,3/30/2016 23:49,3/30/2016 23:56,1
id3942339,1,1/5/2016 17:58,1/5/2016 18:13,1
id2991616,2,3/19/2016 19:51,3/19/2016 20:04,3
id1047459,2,1/22/2016 17:31,1/22/2016 17:37,3
id1737558,1,5/18/2016 19:08,5/18/2016 19:12,1
id2135557,2,5/25/2016 13:19,5/25/2016 13:27,5
id0659170,2,3/26/2016 13:07,3/26/2016 13:29,1
id1125774,1,1/19/2016 22:20,1/19/2016 22:28,2
id1886740,1,5/29/2016 0:15,5/29/2016 0:24,1
id1982306,2,2/10/2016 21:06,2/10/2016 21:09,2
id2684106,2,2/26/2016 20:59,2/26/2016 21:14,2
id0038484,2,3/9/2016 13:41,3/9/2016 13:53,2
id1734208,2,4/11/2016 10:44,4/11/2016 10:56,6
id0561467,1,2/9/2016 6:58,2/9/2016 7:12,1
id3092788,2,3/3/2016 22:01,3/3/2016 22:17,2
id1741519,2,3/26/2016 14:47,3/26/2016 14:53,1
id1330402,2,5/22/2016 18:06,5/22/2016 18:16,1
id2505596,2,5/28/2016 22:53,5/28/2016 23:07,1
id1630509,2,3/16/2016 5:42,3/16/2016 5:45,2
id0512853,1,5/28/2016 17:40,5/28/2016 17:56,1
id3089912,2,6/13/2016 13:22,6/13/2016 13:31,2
id1137965,1,5/16/2016 15:02,5/16/2016 15:08,1
id3677225,2,1/9/2016 15:07,1/9/2016 15:12,1
id0401226,1,5/26/2016 6:37,5/26/2016 6:52,4
id2452605,2,5/22/2016 22:42,5/22/2016 22:46,1
id3618302,2,4/19/2016 9:27,4/19/2016 9:45,6
id1552358,2,4/1/2016 7:55,4/1/2016 8:10,1
id1168234,1,2/1/2016 18:02,2/1/2016 18:13,1
id2910320,2,4/20/2016 7:33,4/20/2016 7:56,1
id3331830,1,4/12/2016 9:21,4/12/2016 9:35,1
id0195963,2,6/19/2016 18:39,6/19/2016 18:48,1
id0762989,2,3/17/2016 8:24,3/17/2016 8:26,1
id2671060,2,4/7/2016 8:44,4/7/2016 8:51,1
id3620795,1,1/1/2016 10:45,1/1/2016 10:51,1
id2282206,1,1/4/2016 16:32,1/4/2016 16:51,2
id0591292,1,6/9/2016 18:43,6/9/2016 19:07,1
id0906779,1,4/19/2016 8:31,4/19/2016 9:14,2
id2326430,2,6/10/2016 22:06,6/10/2016 22:23,1
id3863815,2,3/14/2016 4:24,3/14/2016 4:37,3
id3048297,2,4/6/2016 8:53,4/6/2016 9:14,1
id3649509,1,4/2/2016 14:46,4/2/2016 15:06,2
id1783063,2,4/6/2016 12:24,4/6/2016 12:40,2
id3363012,2,4/12/2016 20:22,4/12/2016 20:24,1
id0514638,1,2/10/2016 8:36,2/10/2016 8:42,1
id0627115,2,2/26/2016 16:10,2/26/2016 16:23,1
id3141299,2,1/14/2016 12:25,1/14/2016 12:37,3
id2003497,1,4/15/2016 11:58,4/15/2016 12:09,2
id3748197,1,2/7/2016 23:17,2/7/2016 23:25,1
id2983261,1,4/15/2016 14:41,4/15/2016 14:47,1
id0485870,2,6/19/2016 20:23,6/19/2016 20:29,1
id0835694,1,1/15/2016 19:25,1/15/2016 19:31,1
id3426410,2,2/18/2016 9:27,2/18/2016 9:45,5
id3673678,2,1/31/2016 13:52,1/31/2016 14:03,1
id2460349,1,1/7/2016 15:40,1/7/2016 15:49,2
id3198639,1,6/5/2016 3:02,6/5/2016 3:14,1
id1872601,2,5/31/2016 19:16,5/31/2016 19:27,2
id0125957,1,6/14/2016 21:16,6/14/2016 21:21,2
id3526986,2,2/23/2016 13:28,2/23/2016 13:40,1
id3170873,1,6/30/2016 21:35,6/30/2016 21:46,1
id1674373,2,2/15/2016 17:52,2/15/2016 18:02,5
id2973697,2,4/7/2016 22:52,4/7/2016 23:10,2
id1592044,1,1/29/2016 11:23,1/29/2016 11:33,1
id3899813,2,6/1/2016 20:15,6/1/2016 20:34,5
id2075052,1,4/9/2016 9:09,4/9/2016 9:20,1
id3707411,1,1/3/2016 2:03,1/3/2016 2:17,1
id1608545,1,4/14/2016 8:31,4/14/2016 9:03,1
id3517425,2,1/16/2016 20:34,1/16/2016 20:51,6
id3942917,1,4/29/2016 14:18,4/29/2016 15:05,4
id2000923,2,3/29/2016 6:07,3/29/2016 6:09,5
id3564028,1,1/2/2016 1:16,1/2/2016 1:19,1
id1233453,1,2/5/2016 17:28,2/5/2016 17:30,1
id1372674,2,5/22/2016 13:08,5/22/2016 13:21,1
id2806146,2,5/28/2016 21:31,5/28/2016 21:41,1
id1832737,2,3/6/2016 10:53,3/6/2016 10:59,1
id1489766,2,5/31/2016 19:53,5/31/2016 20:00,1
id3308765,2,5/17/2016 18:00,5/17/2016 18:10,4
id1935437,2,4/24/2016 9:09,4/24/2016 9:37,1
id2059551,2,4/1/2016 9:28,4/1/2016 9:42,1
id2433939,1,5/16/2016 13:05,5/16/2016 13:33,3
id2677357,2,2/15/2016 16:36,2/15/2016 16:41,2
id2336715,2,1/1/2016 0:09,1/1/2016 0:19,2
id3525276,1,3/24/2016 18:27,3/24/2016 18:32,1
id3729126,1,1/4/2016 14:20,1/4/2016 14:36,1
id1073968,1,3/15/2016 9:44,3/15/2016 10:07,1
id0562336,2,6/15/2016 10:17,6/15/2016 10:27,2
id1163958,1,3/18/2016 7:48,3/18/2016 7:53,1
id1681877,1,4/26/2016 14:42,4/26/2016 14:57,1
id0945119,2,5/2/2016 18:29,5/2/2016 18:38,6
id2939783,1,4/12/2016 10:11,4/12/2016 10:34,1
id2050990,2,6/20/2016 21:05,6/20/2016 21:47,1
id3780362,2,5/8/2016 21:13,5/8/2016 21:16,2
id2233338,2,1/14/2016 19:14,1/14/2016 19:23,2
id1445390,2,1/19/2016 8:00,1/19/2016 8:17,3
id0345679,2,3/22/2016 20:24,3/22/2016 20:33,1
id0570525,1,2/25/2016 15:30,2/25/2016 15:35,1
id0872662,2,2/13/2016 8:10,2/13/2016 8:12,3
id3114338,2,5/23/2016 20:42,5/23/2016 20:51,1
id2718231,1,3/8/2016 2:44,3/8/2016 3:04,1
id0618376,2,1/11/2016 6:21,1/11/2016 6:25,1
id1697059,1,6/26/2016 15:10,6/26/2016 15:23,1
id1868620,2,6/18/2016 0:41,6/18/2016 1:10,1
id0000569,1,1/3/2016 19:51,1/3/2016 19:53,3
id0952827,2,3/25/2016 0:22,3/25/2016 0:36,1
id0464363,2,4/25/2016 19:43,4/25/2016 19:47,1
id0608846,2,5/25/2016 13:45,5/25/2016 13:57,1
id3567125,1,4/10/2016 3:13,4/10/2016 3:57,1
id3996183,1,6/17/2016 8:54,6/17/2016 9:06,1
id1474156,1,6/25/2016 7:30,6/25/2016 7:48,2
id0695483,1,2/6/2016 16:02,2/6/2016 16:15,3
id3609971,1,6/14/2016 9:20,6/14/2016 9:43,1
id3956459,2,3/5/2016 10:23,3/5/2016 10:45,1
id0088231,2,6/8/2016 23:02,6/8/2016 23:19,3
id1957034,1,2/2/2016 18:28,2/2/2016 19:09,1
id1838067,2,4/1/2016 12:46,4/1/2016 12:52,1
id3342568,1,1/3/2016 3:33,1/3/2016 4:09,1
id3487442,2,2/29/2016 18:39,2/29/2016 18:42,1
id1401963,1,6/18/2016 6:53,6/18/2016 7:19,1
id1597742,2,4/11/2016 19:50,4/11/2016 19:58,5
id3271420,2,4/24/2016 19:25,4/24/2016 19:32,4
id0850673,2,2/20/2016 13:06,2/20/2016 13:23,1
id0171820,2,5/25/2016 6:40,5/25/2016 6:43,1
id0514543,2,2/26/2016 18:45,2/26/2016 19:04,1
id1991106,1,6/11/2016 14:22,6/11/2016 14:31,1
id2142187,1,5/19/2016 20:47,5/19/2016 20:59,1
id0526379,1,4/29/2016 4:28,4/29/2016 4:39,1
id2548131,1,5/31/2016 23:12,5/31/2016 23:28,2
id2452855,2,5/14/2016 3:27,5/14/2016 3:51,1
id0315726,2,6/4/2016 3:14,6/4/2016 3:35,1
id2527828,2,2/17/2016 17:39,2/17/2016 18:08,1
id1630336,1,4/25/2016 23:18,4/25/2016 23:30,1
id2353964,2,4/30/2016 7:44,4/30/2016 7:49,1
id2393811,1,3/10/2016 18:52,3/10/2016 19:08,1
id1774339,1,4/11/2016 17:41,4/11/2016 17:46,1
id1610798,2,1/25/2016 23:32,1/25/2016 23:42,1
id2452120,1,4/18/2016 18:27,4/18/2016 18:42,2
id2693088,2,4/23/2016 23:28,4/23/2016 23:43,2
id0828675,1,6/23/2016 7:16,6/23/2016 7:21,1
id1636593,2,4/25/2016 17:37,4/25/2016 18:23,1
id0747713,2,1/17/2016 3:24,1/17/2016 3:27,1
id3655477,2,3/24/2016 13:35,3/24/2016 13:48,1
id0642318,2,4/4/2016 9:21,4/4/2016 9:37,1
id2390585,1,2/24/2016 11:45,2/24/2016 12:08,1
id0369319,2,2/8/2016 18:24,2/8/2016 18:28,1
id0720321,1,6/21/2016 18:09,6/21/2016 18:16,1
id0860600,1,1/6/2016 15:23,1/6/2016 15:38,1
id1977372,2,4/1/2016 13:33,4/1/2016 14:00,1
id2437858,2,3/27/2016 11:55,3/27/2016 12:05,5
id2165807,1,4/8/2016 20:19,4/8/2016 20:23,2
id1638921,1,5/27/2016 17:58,5/27/2016 18:16,1
id0631726,2,4/23/2016 15:58,4/23/2016 16:03,1
id1947466,2,4/21/2016 12:32,4/21/2016 12:37,6
id1723822,1,6/16/2016 12:35,6/16/2016 12:45,3
id1144791,2,1/6/2016 13:39,1/6/2016 13:49,1
id1497423,1,2/25/2016 13:40,2/25/2016 13:54,1
id2917044,1,4/2/2016 15:35,4/2/2016 15:55,1
id2538816,1,2/13/2016 17:59,2/13/2016 18:03,1
id2808378,1,3/9/2016 17:11,3/9/2016 17:28,1
id2015130,2,5/21/2016 3:13,5/21/2016 3:20,1
id1062725,1,6/8/2016 5:51,6/8/2016 5:57,1
id3792892,1,5/1/2016 2:40,5/1/2016 3:02,1
id0924324,2,5/10/2016 18:07,5/10/2016 18:26,2
id1295254,1,3/6/2016 11:01,3/6/2016 11:08,1
id0222570,2,4/20/2016 19:14,4/20/2016 19:29,1
id3680395,1,5/19/2016 18:57,5/19/2016 18:59,1
id0552144,2,5/4/2016 18:04,5/4/2016 18:38,1
id2034899,2,2/11/2016 11:03,2/11/2016 11:09,1
id1283389,1,4/6/2016 0:52,4/6/2016 1:07,1
id2040373,2,3/18/2016 7:54,3/18/2016 8:02,3
id2124906,2,5/3/2016 8:28,5/3/2016 8:35,1
id1660823,2,3/1/2016 6:40,3/1/2016 7:01,5
id0989891,1,5/3/2016 4:40,5/3/2016 4:51,2
id2679117,1,2/3/2016 7:57,2/3/2016 8:02,1
id2145001,2,4/27/2016 9:05,4/27/2016 9:12,1
id3427182,1,6/3/2016 11:40,6/3/2016 11:57,1
id2346299,2,6/17/2016 11:46,6/17/2016 11:57,1
id0105984,1,6/26/2016 11:17,6/26/2016 11:30,1
id1587327,1,3/29/2016 21:19,3/29/2016 21:24,3
id2519393,1,6/25/2016 13:48,6/25/2016 13:58,1
id1009714,1,6/20/2016 22:40,6/20/2016 22:48,1
id1027675,2,1/23/2016 8:46,1/23/2016 9:06,1
id0802391,1,3/6/2016 17:44,3/6/2016 17:52,1
id2597894,1,5/14/2016 14:02,5/14/2016 14:27,1
id1949220,1,4/2/2016 4:24,4/2/2016 4:43,1
id3389249,2,5/4/2016 11:02,5/4/2016 11:12,1
id3245042,2,4/2/2016 16:01,4/2/2016 16:13,1
id1285469,2,2/23/2016 9:19,2/23/2016 9:39,1
id3482709,2,3/21/2016 11:22,3/21/2016 11:24,1
id0496379,1,3/24/2016 16:19,3/24/2016 16:32,1
id1703171,2,1/30/2016 22:42,1/30/2016 23:23,5
id2268459,1,3/2/2016 7:02,3/2/2016 7:24,1
id3013319,2,2/15/2016 22:28,2/15/2016 22:30,1
id1265097,2,5/13/2016 2:21,5/13/2016 2:24,1
id2954399,1,6/27/2016 11:22,6/27/2016 11:23,1
id3152963,1,4/9/2016 22:33,4/9/2016 22:41,2
id1904421,2,6/11/2016 17:48,6/11/2016 18:01,2
id3611647,1,5/19/2016 10:44,5/19/2016 11:02,1
id0910982,1,5/21/2016 19:58,5/21/2016 20:10,1
id2640178,1,2/15/2016 16:12,2/15/2016 16:31,1
id0030324,1,1/9/2016 6:26,1/9/2016 6:31,1
id3883723,2,2/25/2016 1:46,2/25/2016 1:57,2
id0674885,1,6/30/2016 7:37,6/30/2016 7:43,1
id3260324,2,2/7/2016 8:24,2/7/2016 8:38,1
id1561466,2,4/29/2016 20:21,4/29/2016 20:56,1
id2106816,1,6/30/2016 10:53,6/30/2016 11:03,1
id2605569,1,5/8/2016 2:57,5/8/2016 3:02,2
id3293082,2,2/6/2016 19:50,2/6/2016 20:04,5
id0790613,1,5/20/2016 14:04,5/20/2016 14:33,1
id0202431,1,2/17/2016 12:02,2/17/2016 12:18,1
id2084457,2,2/1/2016 8:41,2/1/2016 8:49,3
id2595331,2,4/29/2016 12:18,4/29/2016 12:29,1
id3448735,1,1/27/2016 6:45,1/27/2016 6:51,1
id1431322,1,2/21/2016 13:21,2/21/2016 13:34,2
id0130751,1,2/28/2016 19:47,2/28/2016 20:29,1
id1444884,2,1/6/2016 18:15,1/6/2016 18:31,1
id2797773,1,3/8/2016 8:33,3/8/2016 8:36,1
id0861216,2,1/18/2016 13:00,1/18/2016 13:10,1
id3833049,1,6/22/2016 9:47,6/22/2016 10:02,1
id1633648,1,6/20/2016 14:19,6/20/2016 14:34,1
id3252664,2,6/28/2016 7:17,6/28/2016 7:22,1
id3755869,2,4/24/2016 16:48,4/24/2016 17:04,3
id2440671,2,2/17/2016 17:40,2/17/2016 18:13,1
id1489555,1,5/6/2016 10:37,5/6/2016 11:13,2
id0162579,2,5/13/2016 23:13,5/13/2016 23:19,1
id3402983,2,6/30/2016 15:48,6/30/2016 17:31,1
id1713541,1,5/23/2016 0:09,5/23/2016 0:19,1
id2732066,2,4/27/2016 11:52,4/27/2016 12:16,2
id2445763,1,2/20/2016 23:45,2/20/2016 23:52,1
id3972131,2,6/6/2016 13:43,6/6/2016 13:47,3
id3779357,2,2/22/2016 19:02,2/22/2016 19:12,1
id0931190,1,4/20/2016 14:02,4/20/2016 14:24,1
id1789034,1,4/9/2016 23:41,4/9/2016 23:51,1
id0746372,2,1/22/2016 18:20,1/22/2016 18:23,1
id2567660,2,3/19/2016 18:18,3/19/2016 18:33,1
id1787258,1,5/7/2016 18:40,5/7/2016 18:46,2
id0805117,2,4/15/2016 20:11,4/15/2016 20:22,3
id2828691,2,6/19/2016 0:23,6/19/2016 0:34,2
id2729614,2,2/3/2016 0:14,2/3/2016 0:39,1
id1249988,2,6/10/2016 1:48,6/10/2016 2:09,1
id2463869,2,3/18/2016 10:42,3/18/2016 10:51,1
id2904820,1,3/20/2016 22:51,3/20/2016 23:14,1
id0180594,2,4/28/2016 13:22,4/28/2016 13:30,1
id0749370,1,2/2/2016 18:40,2/2/2016 18:45,1
id2848070,2,6/9/2016 6:54,6/9/2016 7:02,3
id3817493,2,3/14/2016 14:57,3/14/2016 15:15,1
id3129802,1,5/14/2016 5:31,5/14/2016 5:52,1
id3167292,2,1/5/2016 9:53,1/5/2016 9:57,1
id1924450,2,2/27/2016 19:09,2/27/2016 19:23,2
id1794468,2,6/17/2016 14:40,6/17/2016 14:44,1
id0204192,1,2/25/2016 2:35,2/25/2016 2:50,1
id3190007,2,1/7/2016 15:26,1/7/2016 15:38,1
id3348726,1,6/23/2016 8:37,6/23/2016 8:40,1
id3469446,2,2/14/2016 10:40,2/14/2016 10:46,6
id1915949,2,2/4/2016 16:33,2/4/2016 16:54,1
id2899891,1,4/8/2016 15:26,4/8/2016 15:38,1
id0942991,2,2/3/2016 7:32,2/3/2016 7:46,1
id2772912,1,1/28/2016 15:31,1/28/2016 16:14,1
id2851756,2,6/16/2016 10:10,6/16/2016 10:19,1
id0851036,1,4/6/2016 1:26,4/6/2016 1:36,1
id0283106,1,4/26/2016 18:36,4/26/2016 18:59,1
id1697231,2,5/16/2016 19:17,5/16/2016 19:27,2
id3385889,1,2/12/2016 9:44,2/12/2016 10:00,1
id3591274,1,2/6/2016 10:24,2/6/2016 10:26,1
id3269098,2,1/21/2016 15:29,1/21/2016 15:55,1
id3159798,1,2/1/2016 22:20,2/1/2016 22:34,1
id0828941,2,2/25/2016 21:24,2/25/2016 21:47,2
id0995542,2,2/6/2016 6:03,2/6/2016 6:11,1
id0661736,1,5/18/2016 13:54,5/18/2016 14:07,2
id1408423,1,4/30/2016 15:40,4/30/2016 16:17,1
id2476509,2,6/1/2016 20:48,6/1/2016 21:08,1
id1575277,2,6/11/2016 16:59,6/11/2016 17:33,1
id0860703,1,1/31/2016 10:43,1/31/2016 10:56,1
id3211119,1,1/2/2016 22:54,1/2/2016 23:05,1
id2693863,1,3/18/2016 8:22,3/18/2016 9:47,1
id2379416,2,2/14/2016 1:05,2/14/2016 1:21,1
id2452510,2,2/21/2016 19:20,2/21/2016 19:36,6
id0040164,2,6/14/2016 11:48,6/14/2016 11:54,1
id1145809,2,5/16/2016 23:15,5/16/2016 23:31,6
id3214066,1,3/21/2016 20:14,3/21/2016 20:24,1
id0651671,2,2/5/2016 14:56,2/5/2016 15:15,1
id0707492,2,4/12/2016 11:42,4/12/2016 11:48,1
id0599157,2,2/24/2016 20:21,2/24/2016 20:44,2
id1309604,2,4/23/2016 16:10,4/23/2016 16:19,1
id0183474,2,2/14/2016 20:58,2/14/2016 21:09,1
id1399824,1,5/18/2016 18:59,5/18/2016 19:19,1
id0407071,1,1/6/2016 5:58,1/6/2016 6:28,3
id0353238,2,6/23/2016 19:41,6/23/2016 19:55,5
id3974735,2,6/8/2016 0:45,6/8/2016 0:52,1
id3151105,2,1/12/2016 18:55,1/12/2016 19:05,2
id3009814,1,1/28/2016 12:28,1/28/2016 12:32,2
id3148002,2,2/16/2016 16:52,2/16/2016 17:06,1
id3453520,1,4/13/2016 19:14,4/13/2016 19:21,1
id3225079,1,1/14/2016 9:24,1/14/2016 10:00,1
id3842035,1,5/18/2016 4:25,5/18/2016 4:43,1
id2722135,2,2/20/2016 11:43,2/20/2016 11:46,6
id3684742,2,5/24/2016 13:21,5/24/2016 13:40,1
id2026236,1,5/14/2016 17:50,5/14/2016 18:23,1
id3924756,1,2/22/2016 21:34,2/22/2016 21:50,2
id1384906,2,2/25/2016 22:17,2/25/2016 22:33,1
id3588665,2,2/14/2016 14:37,2/14/2016 14:45,4
id2840400,1,2/23/2016 21:10,2/23/2016 21:19,1
id3355874,1,2/4/2016 11:24,2/4/2016 11:42,1
id0363564,2,5/21/2016 12:29,5/21/2016 12:37,2
id0883448,1,4/22/2016 20:10,4/22/2016 20:17,3
id1322536,1,5/6/2016 8:40,5/6/2016 8:48,1
id0559488,2,3/30/2016 8:52,3/30/2016 9:00,6
id3226823,2,3/28/2016 8:02,3/28/2016 8:14,3
id3791668,2,1/6/2016 17:25,1/6/2016 17:27,5
id3170402,2,3/20/2016 7:50,3/20/2016 7:58,1
id3815007,1,5/20/2016 22:05,5/20/2016 22:12,1
id3443107,2,2/12/2016 15:26,2/12/2016 15:31,5
id3942614,2,6/22/2016 4:26,6/22/2016 4:30,1
id1459852,2,5/18/2016 8:22,5/18/2016 8:38,1
id1382741,1,5/11/2016 20:29,5/11/2016 20:35,1
id0531053,1,2/2/2016 9:32,2/2/2016 9:48,1
id0580213,2,3/24/2016 6:57,3/24/2016 7:09,1
id3656168,1,3/28/2016 7:41,3/28/2016 7:49,1
id1971518,1,3/12/2016 13:04,3/12/2016 13:14,1
id3911487,1,3/3/2016 17:56,3/3/2016 18:05,1
